Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
56250	32	84	0	0	0	0	0	1364801	0	0	0	225154	2	235354	0	1801827	10	75860	0	0	705523
56500	30	104	7	0	1	0	0	1367303	0	0	0	234555	3	234594	14	1808708	12	76821	0	0	721516
56750	32	72	0	0	0	0	0	1373421	1	0	0	231485	3	236695	0	1815618	5	76312	0	0	704317
57000	23	70	0	0	2	0	0	1384915	7	0	0	236088	2	240697	0	1822746	6	81481	0	0	711344
57250	32	76	0	0	3	0	0	1385850	0	0	0	243935	1	245466	0	1831903	5	78059	0	0	690547
57500	30	74	0	0	2	0	0	1391561	7	0	0	238618	3	243677	0	1839223	5	77938	0	0	735057
57750	32	69	0	0	2	0	0	1397537	7	0	0	247193	1	246054	0	1843997	6	80415	0	0	730233
58000	24	86	0	0	1	0	0	1409528	0	0	0	245324	2	251735	0	1848274	4	82956	0	0	735289
58250	38	86	0	0	1	0	0	1406379	0	0	0	252399	3	260973	0	1860141	5	84061	0	0	744324
58500	29	78	0	0	0	0	0	1415694	0	0	0	250432	4	261874	0	1866894	6	80129	0	0	744207
58750	37	81	0	0	1	0	0	1489716	0	0	0	253697	3	268931	0	1877647	5	80585	0	0	737420
59000	26	76	0	0	0	0	0	1530383	0	0	0	258776	3	254008	0	1878488	5	81486	0	0	740532
59250	39	71	0	0	2	0	0	1520013	0	8	0	258079	29	257579	0	1889538	38	81570	0	0	738832
59500	25	84	0	7	1	0	0	1436488	0	0	0	251002	3	274541	0	1959138	5	87727	0	0	757312
59750	23	76	0	0	0	0	0	1774757	0	0	0	290252	1	330682	7	2020985	5	84731	0	0	758275
